country_code,country_name,continent,income_groupincome_group,regime_type,un_sdg_region
VNM,Vietnam,Asia,Low income,Closed Autocracy,Eastern and South-Eastern Asia
VNM,Vietnam,Asia,Lower-middle income,Closed Autocracy,Eastern and South-Eastern Asia
VNM,Vietnam,Asia,Lower-middle income,Electoral Autocracy,Eastern and South-Eastern Asia
VUT,Vanuatu,Oceania,Lower-middle income,Electoral Democracy,Oceania
ZAF,South Africa,Africa,Upper-middle income,Liberal Democracy,Sub-Saharan Africa
ZAF,South Africa,Africa,Lower-middle income,Liberal Democracy,Sub-Saharan Africa
ZAF,South Africa,Africa,Upper-middle income,Electoral Democracy,Sub-Saharan Africa
ZMB,Zambia,Africa,Low income,Electoral Democracy,Sub-Saharan Africa
ZMB,Zambia,Africa,Lower-middle income,Electoral Democracy,Sub-Saharan Africa
ZMB,Zambia,Africa,Lower-middle income,Electoral Autocracy,Sub-Saharan Africa
ZWE,Zimbabwe,Africa,Low income,Electoral Autocracy,Sub-Saharan Africa
